DEMOGRAPHIC,ACTIVITY,12 AM,1 AM,2 AM,3 AM,4 AM,5 AM,6 AM,7 AM,8 AM,9 AM,10 AM,11 AM,12 PM,1 PM,2 PM,3 PM,4 PM,5 PM,6 PM,7 PM,8 PM,9 PM,10 PM,11 PM
under3,Sports and recreation,0.1,0.1,0,0,0,0.3,0.7,0.5,0.6,0.9,1,1.1,1,1,1.1,1.1,1.2,1.6,1.5,1.5,1.2,0.7,0.4,0.2
under3,Correspondence,0.2,0.1,0.2,0.2,0.1,0,0.1,0.2,0.4,0.6,0.7,0.7,0.5,0.5,0.7,0.9,0.9,0.6,0.5,0.6,0.7,0.9,1.2,0.6
nokids,Sleeping,82.1,89.7,93.2,94.4,91.5,84.5,66.1,42.9,24.4,13,7.3,4.9,3.8,4.6,4.7,4.6,3.9,3.1,2.8,3,5.3,14.3,35.8,63.9
nokids,Eating and drinking,0.7,0.5,0.3,0.3,0.6,1.6,4.4,7.5,8.3,7.3,5.4,6,18.7,11.9,6.4,4.3,4.5,9.9,16.1,14.2,9.5,4.8,2.4,1.2
nokids,Household activities,0.8,0.5,0.4,0.4,1,2,4.7,8.2,11.7,14.2,14.9,14.3,12.9,12.4,12.2,12.4,13.8,15.2,14,10.9,7.5,4.9,3.4,1.6
nokids,Shopping,0.2,0.1,0.1,0.1,0.1,0.2,0.5,1,2.2,4.6,6.8,7.7,8.2,8.4,8.3,7.9,7.3,6.6,5.3,4.1,2.8,1.9,0.8,0.4
nokids,Family care,0.1,0.1,0.1,0.1,0.1,0.1,0.2,0.4,0.4,0.4,0.4,0.4,0.3,0.4,0.4,0.4,0.4,0.5,0.3,0.3,0.3,0.2,0.2,0.1
nokids,Working,2.3,1.8,1.5,1.6,2.3,3.7,7.8,16.5,25.8,29.7,30.9,31.4,23.9,28.1,30.4,29.6,26.3,19.7,12.4,8.6,6.7,5.7,4.6,3.5
nokids,Education,0.4,0.2,0.1,0.1,0,0,0.1,0.4,1,1.7,2.1,2,1.6,1.7,1.7,1.8,1.5,1.2,1.2,1.4,1.3,1.1,0.9,0.5
nokids,Religious activities,0.1,0,0,0,0.1,0.2,0.3,0.5,0.7,1.1,1.7,2.2,1.4,0.6,0.4,0.3,0.3,0.5,0.6,1,1,0.6,0.2,0.1
nokids,Socializing,1.5,0.9,0.4,0.2,0,0.1,0.3,0.5,0.9,1.5,2.4,2.8,3.2,3.8,4.2,4.9,5.4,5.6,6,6.3,6.1,5,3.7,2.3
nokids,Watching television,5.4,2.7,1.4,0.9,0.9,1.4,2,3.3,4.6,5.6,7,7.8,8.1,9.8,11,12.2,14.1,16.2,20.6,28.2,36.8,38.7,28.9,14.7
nokids,Sports and recreation,0.2,0.1,0.1,0,0.1,0.3,1,1.4,1.6,1.7,2,2.1,1.7,1.7,1.6,1.6,1.6,1.8,1.8,1.9,1.5,1,0.5,0.3
nokids,Correspondence,0.4,0.2,0.1,0,0.1,0.1,0.3,0.4,0.7,1,1.1,1.2,1.1,1.1,1.2,1.5,1.5,1.3,1.5,1.9,2,2,1.5,0.7
